식품명,에너지,단백질,지방,탄수화물,1회제공량
리얼 런천미트,75,4,6,1 미만,30.0
삶아서 깐 메추리알,160,13,11,2,100.0
아인슈타인 베이비,65,3,3.5,4.5,100.0
프리미엄 저지방우유,45,3,1.5,5,100.0
오뚜기 깐 메추리알,145,10,11,2,100.0
제이웰 알초롱 깐메추리알,180,12,14,2,100.0
웰니스 쉥켄,60,4,4.6,1,30.0
블루베리 유황 먹인 오리훈제,360,12,31,8,100.0
알나라 깐 메추리알,65,5,4,2,50.0
비타플러스,60,1,0,15,100.0
남양 아인슈타인,85,3.8,4.9,6,120.0
빙그레 오디맛 우유,187,6,7,25,240.0
얼려먹으니 더 좋은 수박우유,115,2,5,15,100.0
앙팡,65,3.3,4,4.5,100.0
삶아서 깐 계란,130,12,8,3,100.0
사랑 가득한 깐 메추리알,40,3,2.9,0,50.0
밀키스,50,0,0,12,100.0
수박 스파클링,45,0,0,11,100.0
쿨 모히또 자몽,70,0,0,17,200.0
퓨어플러스 칼라만시,93,0,0,23,200.0
테일러 푸른주스,67,1,0,16,100.0
아이러브 토스트,245,8,2.8,47,100.0
미니 밤꿀 호떡,325,7,9,53,100.0
천하장사 오리지날,21,1,1,2,15.0
더블링 참치마요,35,3,1.2,3,25.0
맥스봉,60,4,3.2,4,35.0
맥스봉 할라피뇨,60,4,3,4,35.0
제크,250,3,12,33,50.0
빠다코코낫,250,3,12,33,50.0
자갈치 문어맛,155,2,8,19,30.0
도라야끼 통단팥,310,8,2.4,63,100.0
고소한 쁘띠 땅콩샌드,520,11,21,71,170.0
깨 단팥빵 2입,195,5,3,36,70.0
압착 올리브유,900,0,100,0,100.0
카놀라유,900,0,100,0,100.0
압착 올리브오일,900,0,100,0,100.0
포도씨 오일,900,0,100,0,100.0
자연산 골뱅이,78,14,0.4,4,100.0
동원참치 DHA,210,19,15,0,100.0
동원 골뱅이,95,18,0,6,100.0
사조 로하이 고등어,145,18,8,0,100.0
사조 연어 매운맛 안심따개,160,10,8,10,100.0
햇반,315,5,1.5,70,210.0
델몬트 망고드링크,65,0,0,16,190.0
솔의눈,75,0,0,19,240.0
슈크림빵 2입,190,5,4.8,31,70.0
속이 알찬 미니 팥빵,660,16,8,131,210.0
스프라이트,228,0,0,57,500.0
해표 부침가루,335,10,0.7,77,100.0
부침가루,350,9,1.6,75,100.0
백설 핫케익 믹스,395,6,7,77,100.0
백설 빵가루,365,11,2.6,75,100.0
제주사랑 감귤사랑,240,1,0,59,500.0
환타 오렌지향,140,0,0,35,300.0
코카·콜라,108,0,0,27,250.0
아침에주스 오렌지,50,1,0,11,100.0
퓨어플러스 터닝메카드 사과,64,0,0,16,240.0
에피타이저 브레드,200,5,2.8,38,80.0
미니 소보로,325,7,9,53,100.0
달콤한 정통 만쥬,365,8,6,69,100.0
박력 밀가루,355,8,1.4,77,100.0
백설 우리밀 밀가루,355,11,1.3,75,100.0
옛날 자른당면,345,0,0,86,100.0
옛날 자른당면,345,0,0,86,100.0
옛날 당면,345,0,0,86,100.0
양반 참치죽,165,7,2.6,29,288.0
양반 야채큰죽,215,4,2.9,43,403.0
자일로스 설탕,400,0,0,100,100.0
동원 꽁치,220,12,19,0,100.0
동원 구운 왕꼬막,85,6,1.8,11,100.0
둥지냉면 동치미 물냉면,485,8,0.8,111,161.0
드레싱누들 오리엔탈 소스맛,385,9,6,74,118.0
멸치칼국수,335,9,0.4,74,98.0
농심 감자면,505,11,17,77,117.0
육개장 라면,515,11,18,77,116.0
짜왕,605,10,22,92,134.0
맥스봉 리치 치즈,35,2,2.1,2,20.0
천하장사 치즈,47,3,1.7,5,28.0
양반 콩나물바지락 죽,120,4,1,24,285.0
죠스바,85,0,0,21,75.0
빈츠,45,16,2.3,5,8.0
가나초코바 미니,485,10,24,57,100.0
미니 가나마일드,555,9,33,55,100.0
에어라이트 미니,565,9,35,54,100.0
LOTTE 초코파이,140,1,5,21,32.0
신선도원 고창 복분자 사탕,40,0,0,10,10.0
오징어집 버터구이맛,160,2,9,18,30.0
우유맛 비가,60,0,0.5,13,14.0
계피맛 캔디,40,0,0,10,10.0
해표 튀김가루,335,9,0,79,100.0
우리밀 튀김가루,355,7,2.2,77,100.0
사조 마일드참치,384,48,20,3,250.0
유동 순살왕꼬막,55,7,0.9,5,100.0
사조 로하이 꽁치,232,13,20,0,100.0
찰 밀가루,360,8,1.1,80,100.0
중력 밀가루,365,9,1.9,78,100.0
레쓰비 마일드,60,1,0,14,175.0
까페 아메리카노,30,0,0,8,175.0
까페 마일드,65,1,0.3,14,175.0
맥심 화이트골드 커피믹스,50,0,1.4,9,12.0
맥심 모카골드 마일드 커피믹스,50,0,1.6,9,12.0
더블링 할라피뇨 치즈,35,3,1.4,2,25.0
콘치즈 천하장사,130,10,3.3,15,100.0
갈색 설탕,400,0,0,100,100.0
하얀 설탕,400,0,0,100,100.0
5가지 자연에서 얻은 재료 튀김가루,365,8,1.5,80,100.0
쇠고기 잡곡죽,160,6,2.5,28,288.0
전복 잡곡죽,150,5,1.8,29,288.0
양반 가평잣죽,180,3,8,24,268.0
양반 호박죽,165,2,0,39,285.0
허니비푸드 딸기쨈,55,0,0,14,20.0
미니 치즈소시지,33,2,1,4,23.0
천하장사 블랙라벨,90,7,3.7,7,60.0
계란과자,315,4,10,52,70.0
포차골뱅이 간장소스,85,11,0,10,100.0
동원 구운골뱅이,75,10,0,9,100.0
꽁치 강된장조림,595,34,45,14,280.0
강력 밀가루,350,13,1.8,71,100.0
부침용 밀가루,360,10,1.6,76,100.0
딸기 스크류바,85,0,0,21,75.0
잘익은 수박바,90,0,1.6,19,75.0
감자깡,150,2,6,22,30.0
마가렛트 고로케,105,1,5,13,22.0
스타벅스 콜드브루 커피,10,0,0.5,1,270.0
스타벅스 에스프레소,105,2,4,15,200.0
아침에주스 포도,60,0,0,15,100.0
통밀식빵,275,7,7,45,100.0
미니꿀호떡,265,5,4.1,52,100.0
미닛메이드 스파클링 청포도,36,0,0,9,100.0
해피토스트,260,8,4.3,46,100.0
브라운 자일로스 설탕,400,0,0,100,100.0
바삭 튀김가루,350,7,1.3,77,100.0
프렌치카페 로스터리 콜드브류 카페오레,165,5,5,25,5.0
카페오레,125,3,4.4,18,4.0
카페모카,125,3,4.5,18,4.0
프렌치카페 로스터리 콜드브류 아메리카노,10,0.6,0,2,50.0
썬키스트 폴리 딸기,71,0,0,19,210.0
보석바,70,0,0.7,18,80.0
썬키스트 폴리 사과,75,0,0,20,210.0
썬키스트 폴리 포도,75,0,0,20,210.0
찰떡쿠키 오리지널,84,0.8,1.9,16,22.0
연양갱,145,2,0,34,50.0
국내산 쌀로 만든 인절미,155,3,8,18,30.0
고구마형 과자,150,3,7,19,30.0
참깨스틱 진,390,7,11,65,85.0
델로스 오리지날,484,5,20,71,100.0
나쵸칩 라임파프리카,509,6,24,66,100.0
허쉬 스페셜 다크 초콜릿 자이언트 바,555,5,33,59,100.0
트윅스 APJ22,240,2,12,31,48.0
엑선런스 다크90%,590,10,55,14,100.0
미가촌 아마씨유,894,0,99,0,100.0
