식품명,에너지,단백질,지방,탄수화물,1회제공량
PROTEIN MISUGARU(프로틴 미수가루),170,20,1,20,44.0
PS2_중화풍새우오징어볶음,130,12,4.9,13,130.0
REAL PRICE 사골곰탕,25,4,1,1,500.0
Real-치즈 브로콜리 스프,235,6,17,14,200.0
Real-캐롯 펌킨 스프,225,3,14,22,200.0
Real-트러플 머쉬룸 스프,185,3,11,18,200.0
SD푸드 식도락 갈비탕,125,19,3.7,4,600.0
SD푸드 식도락 곱창전골,295,16,17,18,600.0
SD푸드 식도락 부대찌개,330,17,8,46,600.0
SD푸드 식도락 육개장,110,13,3.1,7,600.0
Sias닭가슴살볶음밥,415,12,9,72,250.0
sias로제치즈스파게티,820,25,42,85,470.0
sias비프치즈스파게티,735,28,37,73,470.0
slow kitchen 단호박크림스프,175,2,11,17,150.0
slow kitchen 양송이크림스프,165,2.4,14,7,150.0
slow kitchen 클램차우더스프,230,3,18,14,150.0
THE 케이준치킨샐러드,220,8,12,12,180.0
The(더)낙지볶음밥,535,14,10,97,300.0
THE건강한 돼지고기고추장찌개,41,2.7,1.7,4,100.0
THE건강한 복령타락죽,59.9,2.1,1.7,8.7,100.0
THE건강한 차돌된장찌개,40.5,2.3,2.2,2.9,100.0
The베이스 김치볶음밥,420,8,6,84,280.0
The베이스 만능야채볶음밥,425,2,5,93,280.0
The베이스 햄야채볶음밥,455,9,7,89,280.0
The통통한낙지볶음밥,390,7,8,73,300.0
UFO 부대찌개,1584,81,102,85,963.0
VIVID KITCHEN  매콤막창볶음밥,485,10,14,80,230.0
VIVID KITCHEN 나시고랭볶음밥,300,11,4.2,55,230.0
VIVID KITCHEN 매쉬드포테이토스프,90,1,1.9,17,23.0
VIVID KITCHEN 부대찌개볶음밥,425,14,13,64,230.0
VIVID KITCHEN 제주톳보리밥,390,9,4.9,78,230.0
VIVID KITCHEN 주꾸미볶음밥,395,13,9,66,230.0
VIVID KITCHEN 취나물밥,395,8,5,79,230.0
VIVID KITCHEN 콘스프,85,2,2.5,13,20.0
XO(엑스오)볶음밥,430,11,5,85,230.0
XO게살새우볶음밥,510,11,12,90,300.0
XO볶음밥,430,11,5,85,230.0
YOUUS 오모리김치돼지찜,405,22,14,48,450.0
가나초코샌드,435,12,22,47,133.0
가득담은제육불고기도시락,705,25,20,106,387.0
가래떡떡볶이,797,14,9,165,369.0
가리비듬뿍 해물탕,66,11,1,3,100.0
가마솥 찰 연잎밥,388,10,2.5,82,230.0
가마솥 취나물볶음,260,24,12,15,340.0
가마솥간편찹쌀누룽지,375,8,1,85,100.0
가마솥자숙재첩회,5,0,0,0.8,100.0
가바현미가 들어간 미숫가루,159,4,1,34,40.0
가쓰오 곤약우동,40,2,0,7,200.0
가쓰오밀푀유나베육수,40,2,0.1,8,500.0
가우초 곱창전골,765,48,24,90,830.0
가을옥수수샌드위치,460,8,20,62,190.0
가을잼샌드위치,333,6,13,48,123.0
가자미구이 무스,55,6,1.5,4,90.0
가자미야채구이,35.3,6.3,1,0.3,55.0
가자미한마리미역국,165,19.7,5.2,10.4,550.0
가정식제육편,845,30,34,104,445.0
가지돼지고기볶음 & 치즈함박,466.61,23.93,17.46,53.45,290.0
가지미트스파게티,124,4,2.8,20,100.0
가지버섯돈육덮밥,368,11,11,57,220.0
가츠산도,231,23,9.5,13,100.0
가평잣 아로니아 건강밥,393,8,4,81,210.0
가평잣죽,340,11,13,45,500.0
간장&매콤직화불고기,338,11,6,60,200.0
간장계란곤약볶음밥&햄,360,15,11,51,210.0
간장계란소스,60,4,3.7,3,130.0
간장닭갈비&시래기밥,310,18,4.9,49,220.0
간장도가니스지,185,16,3.2,23,150.0
간장돼지불고기덮밥소스,85,4,1.9,13,100.0
간장마늘닭갈비덮밥,439,18,14,61,237.0
간장버터장조림삼각김밥,214,5,7,32,100.0
간장불고기,264,10,4,47,150.0
간장불고기삼각김밥,177,6,3,32,105.0
간장불고기와매콤닭갈비,868,37,28,117,468.0
간장제육 후리가케 덮밥,872,27,79,14,340.0
간장찜닭소스,61.9,6.7,0.3,8.1,100.0
간장찜닭한끼,580,28,12,90,337.0
간편 동태탕,437,46,6,51,700.0
간편 해물 알탕,358,46,7,28,600.0
간편닭곰탕,40,1,0.7,7,10.0
간편미역국,40,1,1.1,6,9.0
간편버섯해장국,30,1,0.4,5,9.0
간편북엇국,35,2,0.4,6,10.0
간편사골우거지국,35,2,0.4,6,10.0
간편하게 데워먹는 맛있는 순대,186,1.5,3.5,37,100.0
간편하고맛있는물냉면,225,7,2,46,100.0
간편하고맛있는비빔냉면,243,7,2,50,100.0
간편한 곤드레나물밥,465,7,11,85,250.0
간편한 근대 된장국,87,7,1,12,100.0
간편한 미역국,92,5,5,7,100.0
간편한 시금치 된장국,90,8,2,11,100.0
간편한 얼큰 우거지해장국,156,10,10,11,100.0
간편한 열무 된장국,91,8,2,11,100.0
간편한1인식 묵은지꽁치조림,300,22,16,17,250.0
간편한1인식 묵은지찜,305,15,21,14,260.0
간편한1인식 아귀찜,305,15,21,14,260.0
간편한식이푸짐한떡만둣국,80,2,1.8,13,100.0
간편형스마트미숫가루,100,1.8,1.8,19,24.0
갈릭 닭가슴살 샐러드,175,8,10,13,130.0
갈릭 아라비아따 파스타,365,12,2.7,73,302.0
갈릭 에그마니나,385,27,9,49,250.0
갈릭 케이준 치킨 샐러드,228,19,8,21,181.0
갈릭 크림 봉골레 스파게티,431,11,15,63,310.0
갈릭&포크황금볶음밥,460,15,16,64,210.0
갈릭곤약볶음밥&매콤해물볶음,310,9,3.9,59,230.0
갈릭딥핑 트리플치즈 치아바타,584,26,28,56,205.0
갈릭딥핑점보 핫도그,486,23,30,31,150.0
갈릭마라파스타,615,13,25,84,348.0
갈릭마라파스타(매운맛),615,13,25,84,348.0
갈릭마라파스타(순한맛),600,13,25,81,348.0
갈릭머쉬룸퀴노아덮밥,321,8,5,60,220.0
갈릭미트볼&단호박밥,385,12,16,48,220.0
갈릭버터라이스볶음밥&순살닭강정,675,28,20,95,360.0
갈릭버터라이스볶음밥&찜닭소스,530,18,14,82,360.0
갈릭버터쉬림프,70,4,1.4,10,130.0
갈릭베이컨마요김밥,460,13,23,50,229.0
갈릭베이컨마요삼각,220,5,8,32,110.0
갈릭볶음밥과 베지볼,365,10,10,60,220.0
갈릭브레드,505,9,28,53,165.0
갈릭비프스테이크,887,62,51,46,589.0
갈릭쉬림프 오일파스타,741,14,29,106,310.0
갈릭스파게티샐러드,2430,38,177,171,1000.0
갈릭시즐링라이스,415,8,12,69,260.0
갈릭올리브유볶음밥과 두부스테이크,394,18,11,54,220.0
갈릭크림파스타,475,16,17,65,310.0
갈릭통살치킨버거,370,13,14,47,157.0
갈릭파스타 샐러드,310,9.03,12.36,40.74,300.0
갈릭페뇨파스타,470,10,21,60,290.0
갈릭포테이토스프,180,4,12,14,230.0
갈릭품은햄치즈,336,9,16,39,105.0
갈비맛롱버거,405,19,17,44,175.0
갈비맛치킨삼각,181,4,2.9,35,109.0
갈비볶음밥(재료),243,17,4,35,140.0
갈비산적구이김밥,430,12,13,66,218.0
갈비양념목살덮밥,350,5,12,51,170.0
갈비양념버거,368,14,13,48,175.0
갈비양념치킨도시락,809,31,29,107,368.0
갈비천왕 치밥 브리또,240,14,3.9,37,120.0
갈비탕,98,7,5,7,100.0
갈비탕,130,13,7,3,600.0
갈비탕,297.8,23,22,2.4,600.0
갈비탕,265,11,13,26,700.0
갈비탕,37,5.3,1.1,14,100.0
갈비탕,380,33,4.3,52,600.0
갈치무조림,315,23,17,18,200.0
감동란&리코타치즈빅샐러드,295,11,14,30,283.0
감동란&수비드닭가슴살빅샐러드,270,23,16,9,270.0
감바스 알 아히요,1295,30,103,62,420.0
감바스 피칸테,816.1,15.2,49.7,77.1,282.0
감바스알리오올리오,780,21,16,138,312.0
감바스알아히요 & 파스타,2106,59,118,202,799.0
감바스알아히요&바게트,1182,28,76,95,356.0
감자국,152,5,0,32,800.0
감자당근죽 밀키트,110,2,0.5,24,65.0
감자마요 스쿱샐러드,1823,22,127,148,1000.0
감자멸치들깨국,30,11.1,0,6.6,180.0
감자미소된장국,36.4,10.4,0,8,180.0
감자미음,85,2,0,18,40.0
감자배추죽 밀키트,105,2,0.5,23,65.0
감자샐러드,340,8,23,26,200.0
감자샐러드,145,1.6,8.5,16,100.0
감자스프,229,5,17,12,180.0
감자스프,185,4,7,27,250.0
감자애호박된장국,35,2,0,7,150.0
감자애호박죽 밀키트,275,6,1.5,60,260.0
감자애호박죽 밀키트(쌀제외),50,1,0,11,195.0
감자에그 샐러드 스프레드,240,3,19,14,110.0
감자옹심이들깨탕,235,10,9,40,730.0
감자짜글이,605,54,9.9,74,600.0
감자크림스프,303,5,22,21,200.0
감자탕,1790,135,94,101,2200.0
감자탕,450,32,24,28,800.0
감자탕볶음밥,475,12,17,68,250.0
감자탕볶음밥,485,15,19,64,250.0
감자탕볶음밥&훈제오리,395,13,12,58,220.0
감자한우죽 밀키트,140,6,2.9,22,65.0
감칠맛 소고기 미역국,10,1,0,1,100.0
감칠맛 소고기 미역국(냉장),10,1,0,1,100.0
갓군샌 갈릭버터,310,6,20,26,79.0
갓군샌 눈꽃소보루,310,7,19,28,86.0
갓군샌 통까스,270,9,14,27,96.0
갓군샌 트리플치즈,300,8,21,19,78.0
갓김치 코다리찜,458,65.65,11.4,23.15,500.0
강강술래늘봄육개장,290,59,3,7,500.0
강남면옥 갈비탕,315,32,18,7,1000.0
강남면옥 사골떡만두국,1200,36,28,202,644.0
강남면옥 사골만두칼국수,1280,39,20,236,834.0
강남면옥 소갈비찜,1050,87,45,75,1000.0
강된장&취나물곤약밥,390,9,9,68,250.0
강된장비빔소스,50,3,0.6,8,100.0
강력추천!8찬정식,770,35,30,90,387.0
강릉원조 꼬막비빔밥,430,12,11,72,230.0
강순의명가 수제영양밥,204,5,0,46,120.0
강원도 감자옹심이칼국수,428,17,8,72,250.0
강원도 황기 갈비탕,50,5,1.9,4,100.0
강원도 황기육개장,40,3,1.8,3,100.0
강원도시골밥상 곤드레나물밥,405,8,7,78,210.0
강원도시골밥상 시래기보리밥,375,8,7,70,210.0
강원도시골밥상 취나물밥,380,7,6,74,210.0
강창구순대만진순대국,87.48,5.44,2.88,9.95,100.0
강창구찹쌀진순대국,112.58,9.25,6.3,4.72,100.0
강창구토마토진순대국,90.92,6.59,4.96,4.98,100.0
강황버섯볶음밥과 두부닭가슴살스테이크,360,14,10,57,230.0
강황버섯볶음밥과 제육볶음,510,13,20,69,250.0
강황버섯볶음밥과 치즈불닭,360,17,10,50,220.0
강황쌀잡곡밥 소불고기,426,24,9,61,275.0
강황쌀잡곡밥 씨앗담은스테이크,290,15,7,42,145.0
강황쌀잡곡밥 참치김치볶음,261,11,4.5,72,161.0
강황쌀잡곡밥 치즈&고추장불고기,555,31,16,71,290.0
강황쌀잡곡밥 콩단백비프포크스테이크,269,12,6,43,150.0
강황쌀잡곡밥 쿠킹닭다리살 데리야끼,410,21,8,64,234.0
강황쌀잡곡밥 함바그스테이크,397,19,12,73,254.0
강황쌀잡곡밥&칠리닭가슴살,407,18,11,60,237.0
갯바위국거리해장국,162,5,0.7,34,45.0
거금도 미역국밥,285,7,11,39,180.0
건강가득 녹두죽,210,14,1.4,36,450.0
건강한 매콤낙지볶음밥&통통해물완자,340,9,15,42,205.0
건강한 병아리콩잡곡밥&칠리닭가슴살,275,15,5,42,210.0
건강한 순대소를 가득 채운 병천식 옛날 순대,420,20,22,36,300.0
건강한 영양만점나물밥&고추장불고기,380,11,17,46,220.0
건강한 우리집 잡채,375,3,12,64,240.0
건강한 장어탕,200,14,4.3,26,500.0
건강한 퀴노아렌틸콩잡곡밥&매콤닭갈비,380,14,15,47,210.0
건강한 탄두리치킨볶음밥&참치오믈렛,325,9,13,43,195.0
건강한 하루를 위한 선식,100,4,1,19,25.0
건강한 한입 작두콩 그대로,50,3,0,9,30.0
건강한짜장&해산물볶음밥,280,11,8,43,240.0
건강현미밥바 감자양파현미밥바,126,4,1,24,90.0
건강현미밥바 김구이현미밥바,175,5,4.6,29,90.0
건강현미밥바 김치볶음현미밥바,152,6,2,28,90.0
건강현미밥바 닭구이무말랭이현미밥바,159,7,2,30,90.0
건강현미밥바 돈장조림백김치현미밥바,160,7,1.5,29,90.0
건강현미밥바 마른멸치아몬드현미밥바,175,6,3,32,90.0
건강현미밥바 비빔현미밥바,152,5,2,28,90.0
건강현미밥바 소고기깍두기현미밥바,156,7,2,28,90.0
건강현미밥바 소불고기대파현미밥바,160,6,2,29,90.0
건강현미밥바 열무겉절이현미밥바,183,6,4,31,90.0
건강현미밥바 오징어꽈리고추현미밥바,160,7,1.5,29,90.0
건강현미밥바 우엉호두현미밥바,173,5,4,29,90.0
건강현미밥바 플러스 단백질 닭가슴살야채,180,9,1.9,32,90.0
건강현미밥바 플러스 단백질 소고기깻잎,185,9,3.2,30,90.0
건강현미밥바 플러스 단백질 오징어무말랭이,170,9,1.6,30,90.0
건강현미밥바 플러스 단백질 표고버섯장조림,180,9,2.8,30,90.0
건더기가 큼직큼직 씨푸드 채소 철판볶음밥,250,8,7,39,200.0
건새우 듬뿍 아욱국,19,2,1,2,100.0
건새우 듬뿍 아욱국(냉장),19,2,1,2,100.0
건새우아욱국,70,7,2.5,5,500.0
건새우어묵탕,22.7,1.7,0.3,3.8,180.0
건새우우거지된장국,75,5,0.5,13,500.0
검은깨 영양 컵죽,144,2.69,4.46,23.17,33.0
검은미숫가루,4119,151,63,737,1000.0
검은콩 쥐눈이가루,445,40,19,29,600.0
검은콩&흑임자 포켓죽,115,4,2.5,20,120.0
검은콩감자애호박진밥 밀키트,630,18,4.8,129,420.0
검은콩감자애호박진밥 밀키트(쌀제외),145,9,2.5,22,285.0
검은콩이 들어간 블랙푸드 미숫가루,161,4,1,34,40.0
검은콩흑임자죽,340,12,7,58,330.0
게맛살 샐러드,220,8,15,13,170.0
게맛살 시저 SALAD,245,10,17,13,222.0
게맛살오이샐러드,231,8,15,17,150.0
게살&크래미 구운주먹밥,175,4,4,31,100.0
게살곤약볶음밥&스윗칠리 생선까스,386,11,6,72,235.0
게살볶음밥,470,13,8,86,300.0
게살볶음밥&참치오믈렛,302,11.89,9.2,42.86,210.0
게살볶음밥&참치오믈렛,315,10,6,54,215.0
게살야채볶음밥,150,4,2,29,100.0
게살죽,272.65,11.5,2.05,52.05,500.0
게살치즈볶음밥,188.6,6.4,2.6,39.2,150.0
겨울꼬막비빔밥,491,13,15,76,298.0
겨울꼬막비빔밥삼각김밥,185,5,5,30,115.0
겨자소스해물곤약샐러드,199,10,3.3,32,270.0
견과&스틱야채 스낵샐러드,371,6,23,35,195.0
견과류 가득 우렁쌈장,753,38,27,99,794.0
견과류 새송이삼치강정,198,11,8,21,80.0
견과류 영양 컵죽,182,3.2,7.2,26,33.0
견과류두부강정,166,8,9,13,100.0
견과믹스샐러드,260,10,18,14,185.0
견과샐러드,75,3.98,2.99,7.66,100.0
결명자검은콩마죽 프리미엄,130,2,3,25,30.0
경상도식 한우쇠고기 무국,167,17,3.2,18,800.0
경양식돈까스와미트볼펜네,849,29,41,91,477.0
경양식세트도시락,825,22,35,107,438.0
계란 곤약볶음밥,180,5,2.8,33,200.0
계란 단백질 식사 그레인,160,8,2.6,27,40.0
계란 단백질 식사 딸기,105,8,0,20,30.0
계란 단백질 식사 새싹보리,105,9,0,18,30.0
계란 황태국,295,36,13,8,800.0
계란곤약밥&토마토닭가슴살,235,13,6,33,200.0
계란곤약볶음밥,175,6,4.8,27,200.0
계란곤약볶음밥 & 닭가슴살동그랑땡,410,14,15,55,220.0
계란곤약볶음밥&큐브닭가슴살,220,12,4,32,230.0
계란곤약볶음밥&함박스테이크,375,13,15,48,225.0
계란곤약볶음밥&핫스테이크,380,16,15,45,220.0
계란국,236,28,11,7,800.0
계란듬뿍김밥,352,14,7,59,225.0
계란듬뿍모닝샌드&모짜렐라샐러드,470,14,29,38,234.0
계란듬뿍샌드위치,330,9,22,24,126.0
계란듬뿍샐러드,2515,84,228,32,1000.0
계란떡볶이비빔밥볼,298,10,2.9,58,200.0
계란밥 & 떡갈비스틱,489.3,13.3,23.3,56.8,250.0
계란볶음밥 & 떡갈비스틱,489.3,13.3,23.3,56.8,250.0
계란볶음밥 & 매콤제육볶음,470.86,19.23,20.42,52.55,253.0
계란볶음밥 & 스틱떡갈비,268,13,6,39,180.0
계란볶음밥&몽골리안비프,415,18,13,57,250.0
계란볶음밥&커리닭가슴살,275,17,5,40,215.0
계란새우볶음밥,360,9,6,61,230.0
계란새우볶음밥&고구마닭가슴살스테이크,340,18,7,52,235.0
계란소보로,90,8,4.3,5,130.0
계란야채 곤약 볶음밥&토마토소스 닭가슴살 슬라이스,365,24,8,49,250.0
계란야채 곤약볶음밥 & 닭가슴살너겟,380,14,10,58,255.0
계란야채 닭가슴살곤약볶음밥,190,17,4.5,29,200.0
계란야채곤약볶음밥&불닭볶음,340,21,7,49,240.0
계란야채곤약볶음밥&토마토버섯소고기볼,395,14,13,55,240.0
계란야채죽,165,4,0,37,285.0
계란옷 입은 몬테크리스토 토스트 햄.에그.치즈 샌드,454,15,26,40,180.0
계란폭탄두부면김밥,860,38,27,110,560.0
계란폭탄참치&소고기김밥,955,41,43,93,525.0
계란후라이프리미엄햄야채볶음밥&청양고추맛소시지,364,15,11,52,250.0
계절밥상마늘간장닭갈비,960,61,46,76,500.0
계절밥상매운고추장닭갈비,730,46,27,76,500.0
고구마 롤치즈 샐러드,225,6,6,37,180.0
고구마 품은 라자냐,935,50,41,92,450.0
고구마 현미곤약밥과 고추장 제육볶음,400,12,11,63,220.0
고구마 현미영양밥과 닭가슴살스테이크,379,17,5,68,249.0
고구마뉴그린찹쌀죽 밀키트,400,7,1.9,89,305.0
고구마뉴그린찹쌀죽 밀키트(쌀제외),140,3,0,32,230.0
고구마단호박닭가슴살큐브&두부,346,27,11,35,230.0
고구마단호박당근죽 밀키트,320,6,1.8,71,260.0
고구마단호박당근죽 밀키트(쌀제외),95,1,0,21,195.0
고구마단호박양파죽 밀키트,340,6,1.9,74,285.0
고구마단호박양파죽 밀키트(쌀제외),80,1,0,18,210.0
고구마단호박죽 밀키트,275,5,1.4,61,235.0
고구마단호박죽 밀키트(쌀제외),85,1,0,19,180.0
고구마닭가슴살소시지&핫커리닭가슴살큐브,374,33,13,30,230.0
고구마닭치즈그라탕,135,7,4.1,17,130.0
고구마당근오트밀죽 밀키트,330,6,1.9,72,235.0
고구마당근오트밀죽 밀키트(쌀제외),105,2,0.6,23,170.0
고구마당근죽 밀키트,120,2,0.6,27,65.0
고구마맛탕,237.5,1.4,21.5,32.3,150.0
고구마맛탕,290,2,8.9,51,100.0
고구마메쉬와 훈제오리 샐러드,320,20,16,23,300.0
고구마미음 밀키트,95,2,0,21,40.0
고구마비타민퀴노아죽 밀키트,355,7,2.1,77,275.0
고구마비타민퀴노아죽 밀키트(쌀제외),95,2,0.6,20,200.0
고구마사과배추죽 밀키트(쌀제외),85,1,0,19,195.0
고구마사과죽 밀키트,270,4,1.3,61,235.0
고구마사과죽 밀키트(쌀제외),80,0.7,0,19,180.0
고구마삼색채소죽 밀키트,355,7,1.8,78,300.0
고구마삼색채소죽 밀키트(쌀제외),95,2,0,21,225.0
고구마샐러드,2035,11,127,212,1000.0
고구마샐러드,185,1.5,9,24,100.0
고구마샐러드,220,1,14,24,100.0
고구마샐러드,715,6,24,119,500.0
고구마샐러드골드,2340,12,149,238,1000.0
고구마샐러드-에이,185,1.5,9,24,100.0
고구마순두부죽 밀키트,285,8,3.1,56,250.0
고구마순두부죽 밀키트(쌀제외),95,4,2,15,195.0
고구마아몬드샐러드,1040,11,56,123,500.0
고구마오트밀죽 밀키트,290,5,1.6,65,290.0
고구마오트밀죽 밀키트(쌀제외),105,2,0.6,23,170.0
고구마완두콩야채밥,229.3,5.54,3.48,84.7,150.0
고구마우유조림,135,3,5,20,130.0
고구마제육볶음,206,13.5,10,15.3,140.0
고구마채소진밥 밀키트,645,12,2.6,143,435.0
고구마채소진밥 밀키트(쌀제외),170,3,0,39,300.0
고구마치즈볼,310,10,17,30,100.0
고구마치즈브리또,345,15,16,35,125.0
고구마치즈스틱,215,10,6,32,100.0
고구마치킨콥 볼S,183,11,4.3,25,200.0
고구마콘스튜,90,2,0,20,130.0
고구마퀴노아영양밥과 핫커리닭가슴살큐브,350,14,7,57,225.0
고구마큐브와 닭가슴살큐브,343,14,7,56,200.0
고구마크림소스,111,4,2.7,19,100.0
고구마타락죽 밀키트,130,2,1.3,27,48.0
고구마토핑,1630,24,64,239,1000.0
고구마호박버섯진밥 밀키트,625,13,2.9,137,435.0
고구마호박버섯진밥 밀키트(쌀제외),155,4,0.7,33,300.0
고구마흑미밥&치킨크림소스,325,15,11,41,220.0
고기 가득 짜글이,902,47,53,59,674.0
고기2배,200,8,3.5,34,108.0
고기가득 버섯잡채,815,45,19,116,521.0
고기고기고기도시락,577,19,19,83,362.0
고기고기유부삼각,419,15,11,65,228.0
고기동그랑땡,180,14,10,8,100.0
고기듬뿍 시골김치찌개,801,91,25,53,940.0
고기듬뿍 어향비빔면,440,15,9,75,300.0
고기듬뿍 토마토 파스타,1329,53,62,139,640.0
고기듬뿍김치제육볶음,557,24,13,86,367.0
고기듬뿍매콤 중화제육볶음면,2032,49,108,215,1030.0
고기듬뿍불고기백반,586,29,18,77,367.0
고기듬뿍오징어불고기,621,27,13,99,368.0
고기만두프리미엄햄야채볶음밥&청양고추맛소시지,379,14,11,56,250.0
고기반찬,505,33,29,28,300.0
고기싹쓰리도시락,838,25,31,115,435.0
고기진짜많구나도시락,687,25,27,86,420.0
고기짬뽕죽,167,6,2.6,30,320.0
고깃집 된장찌개,358,30,18,19,500.0
고깃집 진한 김치찌개,435,26,24,29,600.0
고깃집 진한 된장찌개,305,13,15,30,600.0
고깃집맛된장국,40,3,1.2,4,11.0
고깃집볶음밥,282,10,10,38,155.0
고다치즈닭가슴살큐브&연근영양밥,365,18,12,48,230.0
고다치즈닭가슴살큐브야채믹스,250,20,6,29,180.0
고독한야식가순대곱창볶음,630,22,25,79,350.0
고독한야식가순대볶음,468,11,15,73,300.0
고들빼기두루치기,475,18,7,85,303.0
고등급식)더블킹새우버거,601,13,32,64,213.0
고등급식)이불돈까스도시락,965,38,33,129,585.0
고등어김치조림,375,29,25,9.5,350.0
고르곤졸라 불고기 퀘사디아,574.9,14.5,26.6,69.3,284.0
고르곤졸라불고기파니니,455,18,54,54,200.0
고르다 블랙선식,128.89,5.34,3.1,19.92,30.0
고르다 새싹보리선식,133,4,4,21,30.0
고르다 싹난다선식,144.96,13.88,6,7.84,30.0
고르다 열매선식,143,4,5,20,30.0
고르다 영양선식,123.21,3.45,1.65,23.64,30.0
고르다 옐로우선식,123.55,4.2,1.69,22.88,30.0
고른 더담은 부대찌개,86,5,6,3,100.0
고른더담은순댓국,78.69,7.69,4.05,2.87,100.0
고메 핫스파이시 미트볼,430,18,27,29,180.0
고메머쉬룸어니언수프,210,2,18,10,180.0
고메버터햄치즈샌드,380,9,26,27,122.0
고메브로콜리치즈수프,180,2,14,12,180.0
고메이494 고추장찌개,283,21,9.8,27,350.0
고메이494 김치찌개,168,12,7,14,350.0
고메이494 한우 미역국,95,9,2,10,500.0
고메이494사골된장국,118,12,3.2,10,400.0
고메잠봉뵈르샌드위치,455,21,18,52,150.0
고메치즈크림함박스테이크,225,11,16,9,100.0
고메콰트로치즈콘수프,175,3,11,16,181.0
고메토마토미트볼,375,17,27,16,200.0
고메함박스테이크,385,14,27,22,200.0
고사리고추잡채/꽃빵,350,20,11,42,300.0
고사리육개장블럭,255,11,6,40,75.0
고소 전복죽,70,2,0,15,180.0
고소한 리코타 치즈와 시금치 페스토 샐러드,240,5,12,28,185.0
고소한 차돌 듬뿍 된장찌개,61,4,3.6,4,100.0
고소한 참깨된장 목살 샐러드,230,12,11,21,185.0
고소한 퀴노아렌틸콩밥&매콤 마라두부볶음,510,17,13.1,81,350.0
고소한 햄마카로니 샐러드,200,3,14,15,110.0
고소한미숫가루,406.4,14.9,4.4,76.8,100.0
고소한참기름전주비빔,193,4,5,33,105.0
고슬고슬 계란코팅 황금밥알 200℃ 미트&에그 볶음밥,595,17,19,90,285.0
고슬고슬 계란코팅 황금밥알 200ºC 중화풍불맛 볶음밥,440,11,16,65,210.0
고슬고슬 계란코팅 황금밥알200℃ 새우&갈릭 볶음밥,425,11,13,67,210.0
고슬고슬 계란코팅 황금밥알200℃ 포크&스크램블 볶음밥,435,12,14,66,210.0
고시히카리쌀죽,85,2,0,19,285.0
고운단팥죽,275,15,2.2,50,250.0
고추마요치킨버거,575,16,36,47,185.0
고추마요치킨삼각김밥,290,5,12,41,153.0
고추말이&치킨데리야끼밥,440,21,24,37,220.0
고추순대,185,2,4.9,32,100.0
고추잡채,959,53,38,105,673.0
고추잡채 김말이 골드,190,2,5,34,100.0
고추잡채김말이,260,6,6,45,150.0
고추잡채와꽃빵,958,52,34,112,670.0
고추장 스테이크 치즈버거,490,15,30,40,165.0
고추장&마늘간장닭갈비도시락,606,27,22,75,389.0
고추장누룽지뽀글이,353.07,7.87,10.85,55.96,90.0
고추장닭갈비볶음밥과 치즈감자볼&고구마,365,16,9,56,230.0
고추장버섯불고기,1015,90,38,82,854.0
고추장불고기,182,6,3.3,32,100.0
고추장불고기도시락,620,19,20,93,348.0
고추장석쇠돈육덮밥,444,17,12,67,250.0
고추장소불고기버거,547,17,31,50,257.0
고추장제육삼각김밥,417,7,17,60,100.0
고추장찌개,259,17,9.9,28,320.0
고추짜장면,405,14,2.6,81,360.0
고추참치김밥,310,10,4,58,225.0
고추참치버거,143,6,1.9,25,100.0
고향순대,190,2,4.5,35,100.0
고흥 유자 깐풍치킨도시락,615,18,19,93,344.0
고흥유자꼬꼬샐러드롤,475,18,15,67,242.0
고흥유자크림치즈치아바타,305,3,9,53,115.0
곡금초대가 해물짬뽕,812,37,25,111,930.0
곡금초해물누룽지탕,456,15,18,59,450.0
곤드레 발아현미 진주흑미밥,427,6.09,4.31,26.13,250.0
곤드레 산채나물밥,385,7,8,71,212.0
곤드레감자밥,410,8,8,76,262.0
곤드레곤약밥 & 피자오믈렛,273.3,7.6,9.1,40.2,235.0
곤드레곤약밥&닭가슴살큐브,240.8,13.7,3.9,37.8,239.0
곤드레곤약밥&머스터드훈제오리,390,10,21,40,215.0
곤드레곤약밥&제육볶음,275,12,7,42,200.0
곤드레곤약밥&피자오믈렛,273.3,7.6,9.1,40.2,235.0
곤드레곤약밥&함박스테이크,319.3,14.1,11.3,40.3,245.0
곤드레나물밥 & 닭가슴살큐브,330,17,6,53,220.0
곤드레나물밥 & 돈육숯불구이,358,13.8,13.92,44.26,200.0
곤드레나물밥 & 바싹불고기,310,10,9,45,180.0
곤드레나물밥&낙지볶음,351,32,4,46,255.0
곤드레나물밥&너비아니,580,24,21,76,395.0
곤드레나물밥&단짠불고기,325,5,7,51,225.0
곤드레나물밥&닭가슴살고구마스테이크,300,13,4.8,50,205.0
곤드레나물밥&두부소세지,417,23,17,43,215.0
곤드레나물밥&두부스테이크,298,17,3.9,20,210.0
곤드레나물밥&마늘맛닭가슴살,367,21,10,48,235.0
곤드레나물밥&미니떡갈비,365,11,11,55,227.0
곤드레나물밥&순창돼지불백,530,28,16,74,400.0
곤드레나물밥&참치오믈렛,305,17,4,50,220.0
곤드레나물밥&청양닭가슴살,253,26.3,2,32,220.0
곤드레나물밥&한입닭가슴살,285,18,4.9,42,210.0
곤드레나물밥&흑마늘함박스테이크 미용식,395,13,14,54,250.0
곤드레나물밥과 닭가슴살스테이크,389,20,12,51,229.0
곤드레나물밥과 닭가슴살야채동그랑땡,335,15,8,52,250.0
